load_step,iter,res_l2,res_rms_unknown
1,1,3.28549333e-02,5.66801448e-04
1,2,6.43513352e-03,1.11016600e-04
1,3,2.00808689e-04,3.46427900e-06
2,1,3.25604677e-02,5.61721434e-04
2,2,6.37055514e-03,1.09902517e-04
2,3,2.02910713e-04,3.50054236e-06
3,1,3.24069522e-02,5.59073040e-04
3,2,6.29443815e-03,1.08589375e-04
3,3,1.97626228e-04,3.40937634e-06
4,1,3.22617367e-02,5.56567834e-04
4,2,6.21270575e-03,1.07179357e-04
4,3,1.92409556e-04,3.31938020e-06
5,1,3.21180336e-02,5.54088721e-04
5,2,6.14545681e-03,1.06019202e-04
5,3,1.88609556e-04,3.25382397e-06
6,1,3.19751650e-02,5.51624003e-04
6,2,6.09912677e-03,1.05219933e-04
6,3,1.87288126e-04,3.23102713e-06
7,1,3.18315923e-02,5.49147139e-04
7,2,6.01868797e-03,1.03832232e-04
7,3,1.82399046e-04,3.14668249e-06
8,1,3.16923149e-02,5.46744375e-04
8,2,5.95681882e-03,1.02764888e-04
8,3,1.78709946e-04,3.08303948e-06
9,1,3.15540396e-02,5.44358899e-04
9,2,5.89869590e-03,1.01762172e-04
9,3,1.75692534e-04,3.03098417e-06
10,1,3.14161479e-02,5.41980043e-04
10,2,5.84178697e-03,1.00780400e-04
10,3,1.73422261e-04,2.99181823e-06
11,1,3.12797241e-02,5.39626508e-04
11,2,5.77631081e-03,9.96508287e-05
11,3,1.69612074e-04,2.92608627e-06
12,1,3.11457030e-02,5.37314425e-04
12,2,5.72054274e-03,9.86887382e-05
12,3,1.67075661e-04,2.88232899e-06
13,1,3.10126971e-02,5.35019855e-04
13,2,5.66482637e-03,9.77275395e-05
13,3,1.64262776e-04,2.83380211e-06
14,1,3.08805350e-02,5.32739842e-04
14,2,5.60694654e-03,9.67290174e-05
14,3,1.60919895e-04,2.77613194e-06
15,1,3.07511147e-02,5.30507129e-04
15,2,5.54823782e-03,9.57161959e-05
15,3,1.69066727e-04,2.91667814e-06
16,1,3.06190308e-02,5.28228466e-04
16,2,5.49356593e-03,9.47730161e-05
16,3,1.55152637e-04,2.67663727e-06
17,1,3.04961056e-02,5.26107803e-04
17,2,5.44524938e-03,9.39394765e-05
17,3,1.53210160e-04,2.64312636e-06
18,1,3.03696748e-02,5.23926665e-04
18,2,5.38111106e-03,9.28329853e-05
18,3,1.49911823e-04,2.58622464e-06
19,1,3.02454811e-02,5.21784120e-04
19,2,5.33394888e-03,9.20193604e-05
19,3,1.48526873e-04,2.56233199e-06
20,1,3.01214438e-02,5.19644274e-04
20,2,5.29051991e-03,9.12701396e-05
20,3,1.46559760e-04,2.52839606e-06
21,1,2.99995504e-02,5.17541414e-04
21,2,5.24208788e-03,9.04346076e-05
21,3,1.44391088e-04,2.49098292e-06
