load_step,iter,res_l2,res_rms_unknown
1,1,3.28858942e-02,5.67335574e-04
1,2,6.50949217e-03,1.12299409e-04
1,3,2.10176368e-04,3.62588682e-06
2,1,3.25838067e-02,5.62124069e-04
2,2,6.36818679e-03,1.09861659e-04
2,3,2.01482631e-04,3.47590562e-06
3,1,3.24390642e-02,5.59627025e-04
3,2,6.30035112e-03,1.08691383e-04
3,3,1.97680085e-04,3.41030546e-06
4,1,3.22925970e-02,5.57100225e-04
4,2,6.23251917e-03,1.07521171e-04
4,3,1.93920860e-04,3.34545266e-06
5,1,3.21476646e-02,5.54599903e-04
5,2,6.16576755e-03,1.06369596e-04
5,3,1.90254112e-04,3.28219525e-06
6,1,3.20042223e-02,5.52125289e-04
6,2,6.10041106e-03,1.05242089e-04
6,3,1.86727048e-04,3.22134761e-06
7,1,3.18622328e-02,5.49675738e-04
7,2,6.03621453e-03,1.04134594e-04
7,3,1.83286335e-04,3.16198967e-06
8,1,3.17218229e-02,5.47253437e-04
8,2,5.97295584e-03,1.03043278e-04
8,3,1.79920899e-04,3.10393039e-06
9,1,3.15828994e-02,5.44856778e-04
9,2,5.91081148e-03,1.01971186e-04
9,3,1.76667629e-04,3.04780615e-06
10,1,3.14452685e-02,5.42482421e-04
10,2,5.85003430e-03,1.00922680e-04
10,3,1.73494976e-04,2.99307270e-06
11,1,3.13094072e-02,5.40138590e-04
11,2,5.79014514e-03,9.98894936e-05
11,3,1.70420724e-04,2.94003681e-06
12,1,3.11748069e-02,5.37816514e-04
12,2,5.73141500e-03,9.88763025e-05
12,3,1.67429680e-04,2.88843639e-06
13,1,3.10417172e-02,5.35520498e-04
13,2,5.67372562e-03,9.78810662e-05
13,3,1.64553741e-04,2.83882174e-06
14,1,3.09100132e-02,5.33248389e-04
14,2,5.61688188e-03,9.69004185e-05
14,3,1.61703938e-04,2.78965796e-06
15,1,3.07797752e-02,5.31001570e-04
15,2,5.56115340e-03,9.59390109e-05
15,3,1.59016519e-04,2.74329558e-06
16,1,3.06508187e-02,5.28776859e-04
16,2,5.50655695e-03,9.49971325e-05
16,3,1.56295559e-04,2.69635455e-06
17,1,3.05237509e-02,5.26584731e-04
17,2,5.45203779e-03,9.40565877e-05
17,3,1.53640300e-04,2.65054698e-06
18,1,3.03976610e-02,5.24409474e-04
18,2,5.39919687e-03,9.31449953e-05
18,3,1.51117827e-04,2.60703020e-06
19,1,3.02729290e-02,5.22257642e-04
19,2,5.34686772e-03,9.22422316e-05
19,3,1.48573847e-04,2.56314237e-06
20,1,3.01500671e-02,5.20138072e-04
20,2,5.29560773e-03,9.13579127e-05
20,3,1.46151040e-04,2.52134498e-06
21,1,3.00281569e-02,5.18034923e-04
21,2,5.24482783e-03,9.04818762e-05
21,3,1.43734098e-04,2.47964877e-06
