load_step,iter,res_l2,res_rms_unknown
1,1,3.28858942e-02,5.67335574e-04
1,2,6.50913129e-03,1.12293183e-04
1,3,2.10094338e-04,3.62447168e-06
2,1,3.25840116e-02,5.62127604e-04
2,2,6.36746921e-03,1.09849280e-04
2,3,2.01389805e-04,3.47430421e-06
3,1,3.24391276e-02,5.59628118e-04
3,2,6.30035764e-03,1.08691495e-04
3,3,1.97683388e-04,3.41036245e-06
4,1,3.22925597e-02,5.57099583e-04
4,2,6.23266911e-03,1.07523757e-04
4,3,1.93946777e-04,3.34589977e-06
5,1,3.21476087e-02,5.54598939e-04
5,2,6.16561808e-03,1.06367017e-04
5,3,1.90212653e-04,3.28148002e-06
6,1,3.20043489e-02,5.52127474e-04
6,2,6.10035518e-03,1.05241125e-04
6,3,1.86757534e-04,3.22187355e-06
7,1,3.18621546e-02,5.49674388e-04
7,2,6.03622291e-03,1.04134739e-04
7,3,1.83268421e-04,3.16168064e-06
8,1,3.17218080e-02,5.47253180e-04
8,2,5.97283291e-03,1.03041157e-04
8,3,1.79909155e-04,3.10372779e-06
9,1,3.15828212e-02,5.44855429e-04
9,2,5.91106154e-03,1.01975500e-04
9,3,1.76663045e-04,3.04772707e-06
10,1,3.14453803e-02,5.42484349e-04
10,2,5.85010042e-03,1.00923821e-04
10,3,1.73503387e-04,2.99321780e-06
11,1,3.13094221e-02,5.40138847e-04
11,2,5.79018658e-03,9.98902085e-05
11,3,1.70404703e-04,2.93976041e-06
12,1,3.11748572e-02,5.37817381e-04
12,2,5.73160592e-03,9.88795962e-05
12,3,1.67480641e-04,2.88931555e-06
13,1,3.10416482e-02,5.35519309e-04
13,2,5.67366695e-03,9.78800539e-05
13,3,1.64486541e-04,2.83766242e-06
14,1,3.09100766e-02,5.33249482e-04
14,2,5.61680645e-03,9.68991171e-05
14,3,1.64686207e-04,2.84110700e-06
15,1,3.07801291e-02,5.31007676e-04
15,2,5.56051219e-03,9.59279488e-05
15,3,1.58794413e-04,2.73946389e-06
16,1,3.06514427e-02,5.28787624e-04
16,2,5.50610060e-03,9.49892597e-05
16,3,1.56176146e-04,2.69429448e-06
17,1,3.05239763e-02,5.26588620e-04
17,2,5.45181381e-03,9.40527236e-05
17,3,1.53572575e-04,2.64937862e-06
18,1,3.03978492e-02,5.24412720e-04
18,2,5.39910700e-03,9.31434448e-05
18,3,1.51040425e-04,2.60569489e-06
19,1,3.02733295e-02,5.22264551e-04
19,2,5.34684351e-03,9.22418139e-05
19,3,1.48582927e-04,2.56329902e-06
20,1,3.01500130e-02,5.20137140e-04
20,2,5.29557373e-03,9.13573263e-05
20,3,1.46124497e-04,2.52088708e-06
21,1,3.00282091e-02,5.18035823e-04
21,2,5.24510536e-03,9.04866642e-05
21,3,1.43804762e-04,2.48086784e-06
