load_step,iter,res_l2,res_rms_unknown
1,1,3.28858942e-02,5.67335574e-04
1,2,6.50918856e-03,1.12294171e-04
1,3,2.10113518e-04,3.62480256e-06
2,1,3.25839482e-02,5.62126511e-04
2,2,6.36758097e-03,1.09851208e-04
2,3,2.01379429e-04,3.47412521e-06
3,1,3.24392840e-02,5.59630817e-04
3,2,6.30039489e-03,1.08692138e-04
3,3,1.97705012e-04,3.41073550e-06
4,1,3.22925821e-02,5.57099968e-04
4,2,6.23251684e-03,1.07521130e-04
4,3,1.93909509e-04,3.34525685e-06
5,1,3.21477540e-02,5.54601446e-04
5,2,6.16581552e-03,1.06370423e-04
5,3,1.90273757e-04,3.28253416e-06
6,1,3.20042223e-02,5.52125289e-04
6,2,6.10037474e-03,1.05241463e-04
6,3,1.86727018e-04,3.22134711e-06
7,1,3.18622217e-02,5.49675545e-04
7,2,6.03605714e-03,1.04131879e-04
7,3,1.83262804e-04,3.16158373e-06
8,1,3.17217372e-02,5.47251959e-04
8,2,5.97300148e-03,1.03044065e-04
8,3,1.79923518e-04,3.10397557e-06
9,1,3.15828398e-02,5.44855750e-04
9,2,5.91078494e-03,1.01970728e-04
9,3,1.76635032e-04,3.04724381e-06
10,1,3.14453430e-02,5.42483706e-04
10,2,5.84994955e-03,1.00921218e-04
10,3,1.73466018e-04,2.99257312e-06
11,1,3.13094854e-02,5.40139939e-04
11,2,5.78990439e-03,9.98853403e-05
11,3,1.70335654e-04,2.93856921e-06
12,1,3.11751831e-02,5.37823005e-04
12,2,5.73105179e-03,9.88700364e-05
12,3,1.67448263e-04,2.88875698e-06
13,1,3.10416650e-02,5.35519598e-04
13,2,5.67364087e-03,9.78796041e-05
13,3,1.64498371e-04,2.83786652e-06
14,1,3.09100710e-02,5.33249386e-04
14,2,5.61683066e-03,9.68995348e-05
14,3,1.61689430e-04,2.78940767e-06
15,1,3.07797603e-02,5.31001313e-04
15,2,5.56109473e-03,9.59379987e-05
15,3,1.58916373e-04,2.74156790e-06
16,1,3.06506697e-02,5.28774288e-04
16,2,5.50680095e-03,9.50013420e-05
16,3,1.56285838e-04,2.69618685e-06
17,1,3.05236690e-02,5.26583318e-04
17,2,5.45220682e-03,9.40595038e-05
17,3,1.53631438e-04,2.65039410e-06
18,1,3.03977672e-02,5.24411306e-04
18,2,5.39891096e-03,9.31400628e-05
18,3,1.51000742e-04,2.60501029e-06
19,1,3.02732661e-02,5.22263458e-04
19,2,5.34692686e-03,9.22432519e-05
19,3,1.48612569e-04,2.56381039e-06
20,1,3.01499814e-02,5.20136594e-04
20,2,5.29568829e-03,9.13593025e-05
20,3,1.46181774e-04,2.52187519e-06
21,1,3.00281253e-02,5.18034377e-04
21,2,5.24544530e-03,9.04925286e-05
21,3,1.43869809e-04,2.48199001e-06
