load_step,iter,res_l2,res_rms_unknown
1,1,3.28549333e-02,5.66801448e-04
1,2,6.43491047e-03,1.11012752e-04
1,3,2.00788243e-04,3.46392628e-06
2,1,3.25605758e-02,5.61723298e-04
2,2,6.36797911e-03,1.09858077e-04
2,3,2.02790441e-04,3.49846748e-06
3,1,3.24071683e-02,5.59076768e-04
3,2,6.29084278e-03,1.08527349e-04
3,3,1.96904206e-04,3.39692028e-06
4,1,3.22623923e-02,5.56579145e-04
4,2,6.21714629e-03,1.07255963e-04
4,3,1.93317668e-04,3.33504662e-06
5,1,3.21172886e-02,5.54075867e-04
5,2,6.14756672e-03,1.06055602e-04
5,3,1.88993654e-04,3.26045029e-06
6,1,3.19746993e-02,5.51615970e-04
6,2,6.09971024e-03,1.05229999e-04
6,3,1.87917467e-04,3.24188430e-06
7,1,3.18309404e-02,5.49135892e-04
7,2,6.02112943e-03,1.03874351e-04
7,3,1.82611897e-04,3.15035452e-06
8,1,3.16923559e-02,5.46745082e-04
8,2,5.95383951e-03,1.02713490e-04
8,3,1.78276387e-04,3.07555986e-06
9,1,3.15540843e-02,5.44359670e-04
9,2,5.90365380e-03,1.01847704e-04
9,3,1.76787027e-04,3.04986597e-06
10,1,3.14151682e-02,5.41963140e-04
10,2,5.84356114e-03,1.00811007e-04
10,3,1.73947570e-04,3.00088068e-06
11,1,3.12794223e-02,5.39621302e-04
11,2,5.77654969e-03,9.96549498e-05
11,3,1.69726831e-04,2.92806601e-06
12,1,3.11455093e-02,5.37311083e-04
12,2,5.71998721e-03,9.86791543e-05
12,3,1.67009799e-04,2.88119276e-06
13,1,3.10132019e-02,5.35028563e-04
13,2,5.66797238e-03,9.77818132e-05
13,3,1.64140482e-04,2.83169233e-06
14,1,3.08810230e-02,5.32748261e-04
14,2,5.60723897e-03,9.67340624e-05
14,3,1.60955213e-04,2.77674122e-06
15,1,3.07515282e-02,5.30514263e-04
15,2,5.54896938e-03,9.57288164e-05
15,3,4.60917567e-04,7.95158346e-06
16,1,3.06306612e-02,5.28429108e-04
16,2,5.49692381e-03,9.48309451e-05
16,3,1.56106224e-04,2.69308821e-06
17,1,3.04946695e-02,5.26083028e-04
17,2,5.44120790e-03,9.38697544e-05
17,3,1.53089772e-04,2.64104947e-06
18,1,3.03692576e-02,5.23919468e-04
18,2,5.38345706e-03,9.28734576e-05
18,3,1.49947882e-04,2.58684673e-06
19,1,3.02450228e-02,5.21776215e-04
19,2,5.33653190e-03,9.20639218e-05
19,3,1.48773979e-04,2.56659498e-06
20,1,3.01210284e-02,5.19637108e-04
20,2,5.28757833e-03,9.12193924e-05
20,3,1.45984639e-04,2.51847429e-06
21,1,2.99998168e-02,5.17546009e-04
21,2,5.24045993e-03,9.04065228e-05
21,3,1.44146412e-04,2.48676186e-06
