load_step,iter,res_l2,res_rms_unknown
1,1,3.28549333e-02,5.66801448e-04
1,2,6.43504644e-03,1.11015098e-04
1,3,2.00767754e-04,3.46357281e-06
2,1,3.25606614e-02,5.61724776e-04
2,2,6.36710320e-03,1.09842966e-04
2,3,2.02417563e-04,3.49203472e-06
3,1,3.24073099e-02,5.59079210e-04
3,2,6.29218109e-03,1.08550437e-04
3,3,1.96926412e-04,3.39730337e-06
4,1,3.22624967e-02,5.56580945e-04
4,2,6.21809717e-03,1.07272368e-04
4,3,1.93563639e-04,3.33929002e-06
5,1,3.21168900e-02,5.54068991e-04
5,2,6.14788197e-03,1.06061040e-04
5,3,1.88806240e-04,3.25721709e-06
6,1,3.19748670e-02,5.51618862e-04
6,2,6.10245345e-03,1.05277324e-04
6,3,1.87704092e-04,3.23820324e-06
7,1,3.18312533e-02,5.49141291e-04
7,2,6.02172967e-03,1.03884706e-04
7,3,1.82593023e-04,3.15002891e-06
8,1,3.16924118e-02,5.46746046e-04
8,2,5.95623022e-03,1.02754733e-04
8,3,1.78872433e-04,3.08584264e-06
9,1,3.15539017e-02,5.44356521e-04
9,2,5.90076065e-03,1.01797792e-04
9,3,1.76331741e-04,3.04201154e-06
10,1,3.14160027e-02,5.41977536e-04
10,2,5.83863957e-03,1.00726102e-04
10,3,1.73237728e-04,2.98863474e-06
11,1,3.12799364e-02,5.39630171e-04
11,2,5.77657251e-03,9.96553435e-05
11,3,1.69619103e-04,2.92620753e-06
12,1,3.11456751e-02,5.37313943e-04
12,2,5.72166359e-03,9.87080746e-05
12,3,1.67634265e-04,2.89196583e-06
13,1,3.10126375e-02,5.35018827e-04
13,2,5.66674257e-03,9.77605970e-05
13,3,1.64343961e-04,2.83520268e-06
14,1,3.08808237e-02,5.32744823e-04
14,2,5.60697680e-03,9.67295396e-05
14,3,1.61265954e-04,2.78210203e-06
15,1,3.07511035e-02,5.30506937e-04
15,2,5.54818287e-03,9.57152480e-05
15,3,1.58066119e-04,2.72689962e-06
16,1,3.06237154e-02,5.28309282e-04
16,2,5.49382949e-03,9.47775630e-05
16,3,1.54910362e-04,2.67245764e-06
17,1,3.04954760e-02,5.26096942e-04
17,2,5.44284703e-03,9.38980320e-05
17,3,1.53175555e-04,2.64252938e-06
18,1,3.03696152e-02,5.23925637e-04
18,2,5.38034178e-03,9.28197141e-05
18,3,1.49696061e-04,2.58250241e-06
19,1,3.02451719e-02,5.21778786e-04
19,2,5.33479592e-03,9.20339732e-05
19,3,1.48366613e-04,2.55956724e-06
20,1,3.01218070e-02,5.19650540e-04
20,2,5.28602395e-03,9.11925769e-05
20,3,1.45687838e-04,2.51335399e-06
21,1,2.99997665e-02,5.17545141e-04
21,2,5.23740659e-03,9.03538476e-05
21,3,1.43890749e-04,2.48235126e-06
