load_step,iter,res_l2,res_rms_unknown
1,1,2.46073492e-02,4.24517105e-04
1,2,4.91878856e-03,8.48571645e-05
1,3,1.64591445e-04,2.83947220e-06
2,1,2.43793391e-02,4.20583556e-04
2,2,4.84129414e-03,8.35202587e-05
2,3,1.62142620e-04,2.79722594e-06
3,1,2.42695380e-02,4.18689308e-04
3,2,4.79187304e-03,8.26676638e-05
3,3,1.59074072e-04,2.74428846e-06
4,1,2.41618380e-02,4.16831306e-04
4,2,4.73278342e-03,8.16482709e-05
4,3,1.55732196e-04,2.68663562e-06
5,1,2.40548234e-02,4.14985130e-04
5,2,4.69210790e-03,8.09465516e-05
5,3,1.53792687e-04,2.65317592e-06
6,1,2.39481907e-02,4.13145541e-04
6,2,4.64847311e-03,8.01937800e-05
6,3,1.50617983e-04,2.59840707e-06
7,1,2.38444507e-02,4.11355855e-04
7,2,4.59735468e-03,7.93119032e-05
7,3,1.48450126e-04,2.56100799e-06
8,1,2.37404257e-02,4.09561254e-04
8,2,4.55165934e-03,7.85235837e-05
8,3,1.45850398e-04,2.51615840e-06
9,1,2.36377195e-02,4.07789402e-04
9,2,4.51094611e-03,7.78212137e-05
9,3,1.43859172e-04,2.48180649e-06
10,1,2.35367212e-02,4.06047018e-04
10,2,4.46877116e-03,7.70936268e-05
10,3,1.41913028e-04,2.44823232e-06
11,1,2.34361608e-02,4.04312185e-04
11,2,4.42014169e-03,7.62546887e-05
11,3,1.39014213e-04,2.39822302e-06
12,1,2.33373679e-02,4.02607846e-04
12,2,4.38032486e-03,7.55677830e-05
12,3,1.36940056e-04,2.36244041e-06
13,1,2.32395343e-02,4.00920057e-04
13,2,4.33874782e-03,7.48505111e-05
13,3,1.34716087e-04,2.32407330e-06
14,1,2.31420603e-02,3.99238469e-04
14,2,4.29840386e-03,7.41545116e-05
14,3,1.33019494e-04,2.29480428e-06
15,1,2.30466928e-02,3.97593225e-04
15,2,4.26049717e-03,7.35005590e-05
15,3,1.30883520e-04,2.25795523e-06
16,1,2.29515061e-02,3.95951097e-04
16,2,4.22208477e-03,7.28378822e-05
16,3,1.29427077e-04,2.23282921e-06
17,1,2.28571817e-02,3.94323847e-04
17,2,4.17341199e-03,7.19981969e-05
17,3,1.26301937e-04,2.17891541e-06
18,1,2.27647088e-02,3.92728539e-04
18,2,4.14481061e-03,7.15047762e-05
18,3,1.24942293e-04,2.15545933e-06
19,1,2.26730481e-02,3.91147240e-04
19,2,4.10787016e-03,7.08674930e-05
19,3,1.23248465e-04,2.12623802e-06
20,1,2.25817692e-02,3.89572529e-04
20,2,4.06965427e-03,7.02082063e-05
20,3,1.20940975e-04,2.08643003e-06
21,1,2.24931277e-02,3.88043319e-04
21,2,4.03007073e-03,6.95253254e-05
21,3,1.19236975e-04,2.05703324e-06
