load_step,iter,res_l2,res_rms_unknown
1,1,3.28858905e-02,5.67335510e-04
1,2,6.46117143e-03,1.11465797e-04
1,3,2.06727069e-04,3.56638076e-06
2,1,3.25617865e-02,5.61744185e-04
2,2,6.31137053e-03,1.08881486e-04
2,3,1.97676985e-04,3.41025199e-06
3,1,3.23937535e-02,5.58845341e-04
3,2,6.23420207e-03,1.07550203e-04
3,3,1.93508095e-04,3.33833179e-06
4,1,3.22244838e-02,5.55925161e-04
4,2,6.15766924e-03,1.06229887e-04
4,3,1.89413448e-04,3.26769242e-06
5,1,3.20576690e-02,5.53047332e-04
5,2,6.08258508e-03,1.04934562e-04
5,3,1.85370911e-04,3.19795203e-06
6,1,3.18935625e-02,5.50216227e-04
6,2,6.00854913e-03,1.03657320e-04
6,3,1.81427327e-04,3.12991875e-06
7,1,3.17316875e-02,5.47423617e-04
7,2,5.93648385e-03,1.02414076e-04
7,3,1.77756578e-04,3.06659230e-06
8,1,3.15710455e-02,5.44652280e-04
8,2,5.86630544e-03,1.01203384e-04
8,3,1.74096276e-04,3.00344610e-06
9,1,3.14136259e-02,5.41936534e-04
9,2,5.79661597e-03,1.00001126e-04
9,3,1.70611820e-04,2.94333353e-06
10,1,3.12573798e-02,5.39241032e-04
10,2,5.72925992e-03,9.88391238e-05
10,3,1.67183534e-04,2.88418998e-06
11,1,3.11039295e-02,5.36593763e-04
11,2,5.66274859e-03,9.76916943e-05
11,3,1.63954945e-04,2.82849151e-06
12,1,3.09517607e-02,5.33968602e-04
12,2,5.59781073e-03,9.65714098e-05
12,3,1.60714728e-04,2.77259246e-06
13,1,3.08022052e-02,5.31388524e-04
13,2,5.53416042e-03,9.54733376e-05
13,3,1.57623246e-04,2.71925934e-06
14,1,3.06542646e-02,5.28836306e-04
14,2,5.47180837e-03,9.43976626e-05
14,3,1.54583016e-04,2.66681039e-06
15,1,3.05089038e-02,5.26328594e-04
15,2,5.40985446e-03,9.33288562e-05
15,3,1.51687491e-04,2.61685783e-06
16,1,3.03645320e-02,5.23837944e-04
16,2,5.34997880e-03,9.22959029e-05
16,3,1.48842373e-04,2.56777489e-06
17,1,3.02225165e-02,5.21387944e-04
17,2,5.29094925e-03,9.12775464e-05
17,3,1.46094739e-04,2.52037369e-06
18,1,3.00820377e-02,5.18964454e-04
18,2,5.23348246e-03,9.02861500e-05
18,3,1.43374200e-04,2.47343994e-06
19,1,2.99440175e-02,5.16583380e-04
19,2,5.17600775e-03,8.92946170e-05
19,3,1.40722783e-04,2.42769865e-06
20,1,2.98074652e-02,5.14227628e-04
20,2,5.12028998e-03,8.83333942e-05
20,3,1.38177304e-04,2.38378496e-06
21,1,2.96726618e-02,5.11902049e-04
21,2,5.06557198e-03,8.73894191e-05
21,3,1.35780996e-04,2.34244472e-06
