load_step,iter,res_l2,res_rms_unknown
1,1,2.46365853e-02,4.25021475e-04
1,2,4.95893275e-03,8.55497176e-05
1,3,1.69261461e-04,2.92003761e-06
2,1,2.44046357e-02,4.21019964e-04
2,2,4.84814309e-03,8.36384143e-05
2,3,1.62150798e-04,2.79736703e-06
3,1,2.42987778e-02,4.19193742e-04
3,2,4.79877833e-03,8.27867914e-05
3,3,1.59479765e-04,2.75128733e-06
4,1,2.41895858e-02,4.17310002e-04
4,2,4.75097867e-03,8.19621688e-05
4,3,1.56741036e-04,2.70403977e-06
5,1,2.40830742e-02,4.15472501e-04
5,2,4.70209820e-03,8.11189006e-05
5,3,1.54283844e-04,2.66164917e-06
6,1,2.39772201e-02,4.13646344e-04
6,2,4.65467712e-03,8.03008092e-05
6,3,1.51371190e-04,2.61140113e-06
7,1,2.38727517e-02,4.11844095e-04
7,2,4.60842252e-03,7.95028416e-05
7,3,1.48926425e-04,2.56922492e-06
8,1,2.37684827e-02,4.10045283e-04
8,2,4.56348015e-03,7.87275121e-05
8,3,1.46494989e-04,2.52727867e-06
9,1,2.36661751e-02,4.08280309e-04
9,2,4.51896666e-03,7.79595813e-05
9,3,1.44149744e-04,2.48681935e-06
10,1,2.35647429e-02,4.06530437e-04
10,2,4.47475910e-03,7.71969286e-05
10,3,1.41785451e-04,2.44603141e-06
11,1,2.34645158e-02,4.04801356e-04
11,2,4.43199091e-03,7.64591071e-05
11,3,1.39505777e-04,2.40670330e-06
12,1,2.33655404e-02,4.03093868e-04
12,2,4.38977499e-03,7.57308133e-05
12,3,1.37319599e-04,2.36898815e-06
13,1,2.32675616e-02,4.01403572e-04
13,2,4.34818072e-03,7.50132441e-05
13,3,1.35104332e-04,2.33077116e-06
14,1,2.31708400e-02,3.99734967e-04
14,2,4.30742372e-03,7.43101189e-05
14,3,1.33079593e-04,2.29584110e-06
15,1,2.30744835e-02,3.98072659e-04
15,2,4.26758267e-03,7.36227956e-05
15,3,1.31147783e-04,2.26251420e-06
16,1,2.29792409e-02,3.96429568e-04
16,2,4.22837725e-03,7.29464378e-05
16,3,1.29192835e-04,2.22878814e-06
17,1,2.28853580e-02,3.94809934e-04
17,2,4.18999093e-03,7.22842108e-05
17,3,1.27272229e-04,2.19565455e-06
18,1,2.27924027e-02,3.93206302e-04
18,2,4.15211543e-03,7.16307965e-05
18,3,1.25397273e-04,2.16330849e-06
19,1,2.27002800e-02,3.91617035e-04
19,2,4.11475170e-03,7.09862109e-05
19,3,1.23481383e-04,2.13025623e-06
20,1,2.26096474e-02,3.90053474e-04
20,2,4.07779682e-03,7.03486787e-05
20,3,1.21777353e-04,2.10085894e-06
21,1,2.25194972e-02,3.88498236e-04
21,2,4.04233951e-03,6.97369819e-05
21,3,1.20060919e-04,2.07124762e-06
