load_step,iter,res_l2,res_rms_unknown
1,1,3.28858942e-02,5.67335574e-04
1,2,6.50910148e-03,1.12292669e-04
1,3,2.10129045e-04,3.62507042e-06
2,1,3.25837731e-02,5.62123491e-04
2,2,6.36766711e-03,1.09852694e-04
2,3,2.01408111e-04,3.47462002e-06
3,1,3.24390419e-02,5.59626640e-04
3,2,6.30051130e-03,1.08694146e-04
3,3,1.97718269e-04,3.41096420e-06
4,1,3.22924033e-02,5.57096883e-04
4,2,6.23265980e-03,1.07523597e-04
4,3,1.93930871e-04,3.34562538e-06
5,1,3.21476385e-02,5.54599454e-04
5,2,6.16593333e-03,1.06372456e-04
5,3,1.90253719e-04,3.28218847e-06
6,1,3.20042968e-02,5.52126574e-04
6,2,6.10023364e-03,1.05239029e-04
6,3,1.86699079e-04,3.22086511e-06
7,1,3.18622924e-02,5.49676766e-04
7,2,6.03578240e-03,1.04127139e-04
7,3,1.83200027e-04,3.16050073e-06
8,1,3.17219235e-02,5.47255172e-04
8,2,5.97301265e-03,1.03044258e-04
8,3,1.79933108e-04,3.10414101e-06
9,1,3.15828286e-02,5.44855557e-04
9,2,5.91102056e-03,1.01974793e-04
9,3,1.76694375e-04,3.04826757e-06
10,1,3.14452834e-02,5.42482678e-04
10,2,5.84987504e-03,1.00919932e-04
10,3,1.73426030e-04,2.99188325e-06
11,1,3.13095897e-02,5.40141739e-04
11,2,5.78987878e-03,9.98848984e-05
11,3,1.70411295e-04,2.93987413e-06
12,1,3.11746281e-02,5.37813429e-04
12,2,5.73145365e-03,9.88769693e-05
12,3,1.67376405e-04,2.88751732e-06
13,1,3.10418755e-02,5.35523229e-04
13,2,5.67348581e-03,9.78769289e-05
13,3,1.64512079e-04,2.83810300e-06
14,1,3.09101176e-02,5.33250189e-04
14,2,5.61683532e-03,9.68996151e-05
14,3,1.61700460e-04,2.78959796e-06
15,1,3.07798833e-02,5.31003434e-04
15,2,5.56092570e-03,9.59350825e-05
15,3,1.59228133e-04,2.74694627e-06
16,1,3.06509491e-02,5.28779108e-04
16,2,5.50573086e-03,9.49828812e-05
16,3,1.56175607e-04,2.69428519e-06
17,1,3.05236708e-02,5.26583350e-04
17,2,5.45234047e-03,9.40618094e-05
17,3,1.53658359e-04,2.65085853e-06
18,1,3.03976722e-02,5.24409667e-04
18,2,5.39920153e-03,9.31450756e-05
18,3,1.51070184e-04,2.60620828e-06
19,1,3.02731153e-02,5.22260855e-04
19,2,5.34666842e-03,9.22387933e-05
19,3,1.48548308e-04,2.56270178e-06
20,1,3.01500335e-02,5.20137494e-04
20,2,5.29585406e-03,9.13621624e-05
20,3,1.46197242e-04,2.52214205e-06
21,1,3.00281476e-02,5.18034762e-04
21,2,5.24511328e-03,9.04868007e-05
21,3,1.43742393e-04,2.47979186e-06
