load_step,iter,res_l2,res_rms_unknown
1,1,3.28858942e-02,5.67335574e-04
1,2,6.46117702e-03,1.11465893e-04
1,3,2.06735887e-04,3.56653289e-06
2,1,3.25616933e-02,5.61742578e-04
2,2,6.31145854e-03,1.08883004e-04
2,3,1.97675574e-04,3.41022764e-06
3,1,3.23937237e-02,5.58844827e-04
3,2,6.23448892e-03,1.07555152e-04
3,3,1.93549349e-04,3.33904350e-06
4,1,3.22244540e-02,5.55924647e-04
4,2,6.15768647e-03,1.06230184e-04
4,3,1.89384795e-04,3.26719811e-06
5,1,3.20579559e-02,5.53052281e-04
5,2,6.08232198e-03,1.04930023e-04
5,3,1.85383324e-04,3.19816617e-06
6,1,3.18932943e-02,5.50211599e-04
6,2,6.00895099e-03,1.03664253e-04
6,3,1.81543262e-04,3.13191882e-06
7,1,3.17310356e-02,5.47412370e-04
7,2,5.93721773e-03,1.02426737e-04
7,3,1.77798356e-04,3.06731305e-06
8,1,3.15710865e-02,5.44652987e-04
8,2,5.86601766e-03,1.01198419e-04
8,3,1.74114015e-04,3.00375213e-06
9,1,3.14132720e-02,5.41930428e-04
9,2,5.79705555e-03,1.00008710e-04
9,3,1.70613755e-04,2.94336692e-06
10,1,3.12574543e-02,5.39242317e-04
10,2,5.72921103e-03,9.88382803e-05
10,3,1.67182763e-04,2.88417667e-06
11,1,3.11037656e-02,5.36590935e-04
11,2,5.66301728e-03,9.76963296e-05
11,3,1.63940058e-04,2.82823470e-06
12,1,3.09517384e-02,5.33968216e-04
12,2,5.59786567e-03,9.65723577e-05
12,3,1.60719981e-04,2.77268309e-06
13,1,3.08022052e-02,5.31388524e-04
13,2,5.53389499e-03,9.54687585e-05
13,3,1.57577539e-04,2.71847081e-06
14,1,3.06545012e-02,5.28840387e-04
14,2,5.47147077e-03,9.43918384e-05
14,3,1.54602094e-04,2.66713951e-06
15,1,3.05085946e-02,5.26323260e-04
15,2,5.41026378e-03,9.33359175e-05
15,3,1.51711865e-04,2.61727833e-06
16,1,3.03644035e-02,5.23835727e-04
16,2,5.34959650e-03,9.22893075e-05
16,3,1.48841777e-04,2.56776459e-06
17,1,3.02224327e-02,5.21386498e-04
17,2,5.29089011e-03,9.12765261e-05
17,3,1.46074584e-04,2.52002599e-06
18,1,3.00820936e-02,5.18965418e-04
18,2,5.23319747e-03,9.02812335e-05
18,3,1.43383237e-04,2.47359584e-06
19,1,2.99435649e-02,5.16575572e-04
19,2,5.17646084e-03,8.93024336e-05
19,3,1.40819015e-04,2.42935880e-06
20,1,2.98070479e-02,5.14220430e-04
20,2,5.12065319e-03,8.83396603e-05
20,3,1.38288306e-04,2.38569992e-06
21,1,2.96720900e-02,5.11892184e-04
21,2,5.06573729e-03,8.73922710e-05
21,3,1.35804090e-04,2.34284313e-06
