load_step,iter,res_l2,res_rms_unknown
1,1,2.47652885e-02,4.27241816e-04
1,2,5.09133842e-03,8.78339323e-05
1,3,1.83714874e-04,3.16938268e-06
2,1,2.45444551e-02,4.23432079e-04
2,2,4.98034945e-03,8.59191907e-05
2,3,1.76002359e-04,3.03632915e-06
3,1,2.44575404e-02,4.21932657e-04
3,2,4.93847020e-03,8.51967050e-05
3,3,1.73402514e-04,2.99147756e-06
4,1,2.43671201e-02,4.20372759e-04
4,2,4.89638979e-03,8.44707489e-05
4,3,1.70899948e-04,2.94830421e-06
5,1,2.42773313e-02,4.18823755e-04
5,2,4.85357549e-03,8.37321321e-05
5,3,1.68299011e-04,2.90343379e-06
6,1,2.41881534e-02,4.17285291e-04
6,2,4.81221266e-03,8.30185555e-05
6,3,1.65888807e-04,2.86185381e-06
7,1,2.40987688e-02,4.15743260e-04
7,2,4.77167685e-03,8.23192463e-05
7,3,1.63522665e-04,2.82103399e-06
8,1,2.40102615e-02,4.14216364e-04
8,2,4.73122066e-03,8.16213108e-05
8,3,1.61228993e-04,2.78146437e-06
9,1,2.39221789e-02,4.12696794e-04
9,2,4.69158404e-03,8.09375140e-05
9,3,1.58975381e-04,2.74258588e-06
10,1,2.38345638e-02,4.11185290e-04
10,2,4.65298258e-03,8.02715756e-05
10,3,1.56835202e-04,2.70566428e-06
11,1,2.37476807e-02,4.09686414e-04
11,2,4.62116394e-03,7.97226520e-05
11,3,1.54233276e-04,2.66077679e-06
12,1,2.36615129e-02,4.08199878e-04
12,2,4.57636639e-03,7.89498209e-05
12,3,1.52664768e-04,2.63371747e-06
13,1,2.35746354e-02,4.06701099e-04
13,2,4.53944923e-03,7.83129394e-05
13,3,1.50734253e-04,2.60041292e-06
14,1,2.34890226e-02,4.05224138e-04
14,2,4.50245803e-03,7.76747805e-05
14,3,1.48758525e-04,2.56632837e-06
15,1,2.34040562e-02,4.03758328e-04
15,2,4.46645822e-03,7.70537248e-05
15,3,1.46867780e-04,2.53370992e-06
16,1,2.33198013e-02,4.02304793e-04
16,2,4.43074852e-03,7.64376739e-05
16,3,1.45024547e-04,2.50191113e-06
17,1,2.32358165e-02,4.00855918e-04
17,2,4.39594919e-03,7.58373284e-05
17,3,1.43232886e-04,2.47100205e-06
18,1,2.31527071e-02,3.99422145e-04
18,2,4.36149864e-03,7.52429999e-05
18,3,1.41593046e-04,2.44271210e-06
19,1,2.30696760e-02,3.97989722e-04
19,2,4.33178758e-03,7.47304355e-05
19,3,1.40290140e-04,2.42023485e-06
20,1,2.29876358e-02,3.96574394e-04
20,2,4.31741402e-03,7.44824679e-05
20,3,1.40235323e-04,2.41928916e-06
21,1,2.29049567e-02,3.95148044e-04
21,2,4.26021125e-03,7.34956265e-05
21,3,1.36551665e-04,2.35574004e-06
