load_step,iter,res_l2,res_rms_unknown
1,1,2.46365890e-02,4.25021539e-04
1,2,4.95889317e-03,8.55490348e-05
1,3,1.69218547e-04,2.91929728e-06
2,1,2.44050231e-02,4.21026648e-04
2,2,4.84776217e-03,8.36318429e-05
2,3,1.62151162e-04,2.79737331e-06
3,1,2.42986288e-02,4.19191172e-04
3,2,4.79945634e-03,8.27984880e-05
3,3,1.59468196e-04,2.75108775e-06
4,1,2.41902359e-02,4.17321216e-04
4,2,4.75043338e-03,8.19527617e-05
4,3,1.56727081e-04,2.70379902e-06
5,1,2.40831450e-02,4.15473722e-04
5,2,4.70207306e-03,8.11184668e-05
5,3,1.54207170e-04,2.66032642e-06
6,1,2.39771511e-02,4.13645155e-04
6,2,4.65467246e-03,8.03007289e-05
6,3,1.51340093e-04,2.61086465e-06
7,1,2.38728225e-02,4.11845316e-04
7,2,4.60872659e-03,7.95080874e-05
7,3,1.48954714e-04,2.56971295e-06
8,1,2.37687826e-02,4.10050457e-04
8,2,4.56314720e-03,7.87217682e-05
8,3,1.46440711e-04,2.52634227e-06
9,1,2.36663073e-02,4.08282590e-04
9,2,4.51900996e-03,7.79603284e-05
9,3,1.44154692e-04,2.48690470e-06
10,1,2.35648099e-02,4.06531594e-04
10,2,4.47560567e-03,7.72115333e-05
10,3,1.41872413e-04,2.44753165e-06
11,1,2.34646946e-02,4.04804440e-04
11,2,4.43192385e-03,7.64579503e-05
11,3,1.39474883e-04,2.40617033e-06
12,1,2.33657993e-02,4.03098335e-04
12,2,4.38943459e-03,7.57249408e-05
12,3,1.37346025e-04,2.36944405e-06
13,1,2.32671686e-02,4.01396792e-04
13,2,4.34851320e-03,7.50189799e-05
13,3,1.35206690e-04,2.33253701e-06
14,1,2.31703222e-02,3.99726033e-04
14,2,4.30766540e-03,7.43142883e-05
14,3,1.33098540e-04,2.29616796e-06
15,1,2.30742134e-02,3.98068000e-04
15,2,4.26752027e-03,7.36217191e-05
15,3,1.31105015e-04,2.26177638e-06
16,1,2.29791142e-02,3.96427382e-04
16,2,4.22850158e-03,7.29485827e-05
16,3,1.29175896e-04,2.22849593e-06
17,1,2.28854176e-02,3.94810962e-04
17,2,4.18992713e-03,7.22831102e-05
17,3,1.27270774e-04,2.19562945e-06
18,1,2.27921363e-02,3.93201707e-04
18,2,4.15229099e-03,7.16338251e-05
18,3,1.25420745e-04,2.16371342e-06
19,1,2.27001924e-02,3.91615524e-04
19,2,4.11516288e-03,7.09933044e-05
19,3,1.23610167e-04,2.13247798e-06
20,1,2.26095412e-02,3.90051642e-04
20,2,4.07804037e-03,7.03528801e-05
20,3,1.21752622e-04,2.10043229e-06
21,1,2.25199629e-02,3.88506269e-04
21,2,4.04155860e-03,6.97235099e-05
21,3,1.19966950e-04,2.06962650e-06
