load_step,iter,res_l2,res_rms_unknown
1,1,2.46365890e-02,4.25021539e-04
1,2,4.95876698e-03,8.55468577e-05
1,3,1.69216422e-04,2.91926063e-06
2,1,2.44047623e-02,4.21022149e-04
2,2,4.84802620e-03,8.36363979e-05
2,3,1.62234035e-04,2.79880300e-06
3,1,2.42979471e-02,4.19179411e-04
3,2,4.79965005e-03,8.28018299e-05
3,3,1.59467891e-04,2.75108248e-06
4,1,2.41900068e-02,4.17317264e-04
4,2,4.75048507e-03,8.19536534e-05
4,3,1.56720707e-04,2.70368906e-06
5,1,2.40830481e-02,4.15472052e-04
5,2,4.70223278e-03,8.11212223e-05
5,3,1.54199457e-04,2.66019336e-06
6,1,2.39774790e-02,4.13650811e-04
6,2,4.65474790e-03,8.03020303e-05
6,3,1.51453802e-04,2.61282631e-06
7,1,2.38723457e-02,4.11837089e-04
7,2,4.60865488e-03,7.95068502e-05
7,3,1.48877923e-04,2.56838819e-06
8,1,2.37690546e-02,4.10055148e-04
8,2,4.56298050e-03,7.87188922e-05
8,3,1.46459235e-04,2.52666185e-06
9,1,2.36662645e-02,4.08281851e-04
9,2,4.51831752e-03,7.79483827e-05
9,3,1.44047954e-04,2.48506329e-06
10,1,2.35648155e-02,4.06531690e-04
10,2,4.47495608e-03,7.72003267e-05
10,3,1.41768032e-04,2.44573091e-06
11,1,2.34648380e-02,4.04806915e-04
11,2,4.43170965e-03,7.64542549e-05
11,3,1.39493932e-04,2.40649895e-06
12,1,2.33654249e-02,4.03091876e-04
12,2,4.39010793e-03,7.57365572e-05
12,3,1.37415976e-04,2.37065082e-06
13,1,2.32670438e-02,4.01394639e-04
13,2,4.34874278e-03,7.50229404e-05
13,3,1.35240349e-04,2.33311767e-06
14,1,2.31701955e-02,3.99723848e-04
14,2,4.30776412e-03,7.43159914e-05
14,3,1.33114416e-04,2.29644184e-06
15,1,2.30744202e-02,3.98071567e-04
15,2,4.27117059e-03,7.36846931e-05
15,3,1.31535213e-04,2.26919801e-06
16,1,2.29790304e-02,3.96425936e-04
16,2,4.22812486e-03,7.29420837e-05
16,3,1.29042557e-04,2.22619561e-06
17,1,2.28860490e-02,3.94821855e-04
17,2,4.19005472e-03,7.22853114e-05
17,3,1.27265579e-04,2.19553983e-06
18,1,2.27923170e-02,3.93204824e-04
18,2,4.15208098e-03,7.16302020e-05
18,3,1.25339327e-04,2.16230883e-06
19,1,2.27004010e-02,3.91619123e-04
19,2,4.11492540e-03,7.09892074e-05
19,3,1.23567923e-04,2.13174920e-06
20,1,2.26091724e-02,3.90045280e-04
20,2,4.07827646e-03,7.03569531e-05
20,3,1.21765675e-04,2.10065747e-06
21,1,2.25194674e-02,3.88497722e-04
21,2,4.04244056e-03,6.97387251e-05
21,3,1.19969904e-04,2.06967747e-06
